title,rating,detail,level
Data Wrangling in Pandas for Machine Learning Engineers,4.4,The Second Course in a Series for Mastering Python for Machine Learning Engineers | By Mike West,Beginner
Complete Python OpenCV Computer Vision Masterclass,4.4,"Learn Image Processing and Computer Vision Programming with OpenCV, NumPy Basics, and Data Visualization with Matplotlib | By Ashwin Pajankar • 50,000+ Students Worldwide",Intermediate
Complete Deep Learning In R With Keras & Others,4.4,"Deep Learning: Master Powerful Deep Learning Tools in R Like Keras, Mxnet, H2O and Others | By Minerva Singh",All Levels
Learn Neural Networks using Matlab Programming,2.7,"Learn Neural Networks Fundamentals, using Matlab NN toolbox with multiple programming examples included ! | By Hossein Tootoonchy",All Levels
R programming with Statistics for Data science,4.0,Learn Hands-On applied statistics and data manipulation using real case studies | By Hands-On Skill,All Levels
The Complete Data Science Project Management Course,3.9,Learn step by step Data Science Project Management through CRISP-DM industry standard data mining methodology | By HiTech Squad,All Levels
Big Data & Business Intelligence,3.3,Everything You Need To Know About Big Data and Business Intelligence for the Modern Workplace | By Michael McDonald,Beginner
Case Studies in Data Mining with R,4.6,"Learn to use the ""Data Mining with R"" (DMwR) package and R software to build and evaluate predictive data mining models. | By Geoffrey Hubona, Ph.D.",All Levels
NLP and Text mining with python(for absolute beginners only),4.0,Learn Natural Language Processing using Python from experts with hands on examples and practice sessions. | By Statinfer Solutions,All Levels
Statistical Methods and Applied Mathematics in Data Science,3.9,Use IPython and Jupyter Notebook to sharpen your skills for your data analysis and visualization tasks | By Packt Publishing,Intermediate
Intro to Data Science Using Python: Your Best Starting Point,5.0,Learn All Data Science And Machine Learning Using Python To Start Your Career In Those Fields. The Best Starting Point | By ‫Ali Desoki,Beginner
Projects in Data Science Using R,3.9,The practical guide to master real world Data science building projects | By Eduonix Learning Solutions,Intermediate
Effective Data Science: Delivering Impact & Value End-to-End,4.8,"Become an Effective Data Scientist that creates impact and delivers results with these key skills, and achieve success | By datagene.io Inc.",Intermediate
How to Become a Machine Learning Engineer,4.2,A Real World Look at Applied Machine Learning | By Mike West,Beginner
Artificial Intelligence #6 : LSTM Neural Networks with Keras,2.8,Learn how to create Recurrent Neural Network and LSTMs by using Keras Libraries and Python | By Sobhan N.,All Levels
Machine Learning Hands-on Course,4.6,Machine Learning & Data Science in Python with real life based hands-on practice. Source codes included. | By Sanjay Singh,All Levels
The Comprehensive Programming in R Course,4.0,"How to design and develop efficient general-purpose R applications for diverse tasks and domains. | By Geoffrey Hubona, Ph.D.",All Levels
Machine Learning & Data Science Masterclass in Python and R,4.5,"Machine learning with many practical examples. Regression, Classification and much more | By Denis Panjuta",Beginner
Machine Learning with Python and NLP,4.1,Learn Machine Learning from Zero to HERO | By Veershetty Dagade,All Levels
Machine Learning In The Cloud With Azure Machine Learning,4.2,Introduction to machine learning in the cloud with Azure Machine Learning. | By TetraNoodle Team,Beginner
Data Science and Machine Learning with Java,4.0,"Load, clean, analyze, and visualize your data in Java. Develop ML and DL models working on real-world projects | By Packt Publishing",Beginner
PyTorch: Deep Learning with PyTorch - Masterclass!: 2-in-1,4.0,Start your journey with PyTorch to build useful & effective models with the PyTorch Deep Learning framework from scratch | By Packt Publishing,Beginner
Introduction To Data Science,3.8,Use the R Programming Language to execute data science projects and become a data scientist. | By Nina Zumel,Intermediate
An Introduction to Machine Learning for Data Engineers,4.3,A Prerequisite for Tensorflow on Google's Cloud Platform for Data Engineers | By Mike West,Beginner
Hands-On Bayesian Methods with Python,2.9,Use Bayesian analysis and Python to solve data analysis and predictive analytics problems | By Packt Publishing,Intermediate
The Complete Python and JavaScript Course: Build Projects,4.5,Want to learn ES6 development and TensorFlow stock market prediction modeling? Build your first web app in this course! | By Mammoth Interactive,All Levels
Data Science and Machine Learning using Python,4.3,Learn Data Science and Machine Learning using Python. Data Science Practical Applications and Machine Learning Projects! | By Osama Ajmal,Beginner
"Python: Solved Interview Ques on Algorithms, Data Structures",3.9,"Understanding The Solutions For Various Interview Questions On Algorithms, Data structures In Python | By Satish Venkatesh",All Levels
Website Design - Create websites in minutes with AI Tools,4.0,Learn Incredible Website Design Tools and Platforms with Artificial Intelligence Technology | By Srinidhi Ranganathan,Beginner
Big Data Analytics in Telecommunication,3.7,Understanding the transformative nature of Big data analytics in Telecommunication service provider domain | By RankOne Consulting,All Levels
Deep Learning with Google Colab,4.2,"Implementing and training deep learning models in a free, integrated environment | By BPB Online + 100 Million Books Sold",Intermediate
Understanding Regression Techniques,4.2,An Introduction to Predictive Analytics for Data Scientists | By Najib Mozahem,Beginner
Mobile VR Virtual Reality & Artificial Intelligence in Unity,4.2,"Learn to make mini games in this epic course, including Google Cardboard mobile VR and A Star algorithms for Unity. | By Mammoth Interactive",All Levels
The Fun and Easy Guide to Machine Learning using Keras,3.3,Learn 16 Machine Learning Algorithms in a Fun and Easy along with Practical Python Labs using Keras | By Augmented Startups,Beginner
Deep Learning & Neural Networks Python - Keras : For Dummies,4.0,Deep Learning and Data Science using Python and Keras Library - Beginner to Professional - The Complete Guide | By Abhilash Nelson,All Levels
The Visual Guide on How Neural Networks Learn from Data,4.4,The BEST Resource for Understanding Neural Networks and How They Learn | By Mauricio Maroto,Beginner
Data Science with Python - A Complete Guide!: 3-in-1,4.3,Learn the fundamentals of data science and gain an in-depth understanding of data analysis with various Python packages | By Packt Publishing,Beginner
Learning Path: Julia: Explore Data Science with Julia,3.5,Use the advanced features of Julia to work with complex data | By Packt Publishing,Beginner
Guide To AI & ML Developer Tools,0.0,A complete guide to master the most important tools used in machine learning by developers around the globe | By Eduonix Learning Solutions,Beginner
Machine Learning Classification Algorithms using MATLAB,3.8,Learn to Implement Classification Algorithms In One of the Most Power Tool used by Scientists and Engineer | By Nouman Azam,All Levels
Machine Learning with Core ML 2 and Swift 5,4.3,"Learn how to integrate machine learning into your apps. Hands-on Swift 5 coding using CoreML 2, Vision, NLP and CreateML | By Karoly Nyisztor",Intermediate
Data Visualisation and Neural Networks Tutorial,0.0,Learn the important concepts and techniques used for data visualisation in this practical project. | By Eduonix Learning Solutions,Beginner
Artificial Intelligence Bootcamp 44 projects Ivy League pro,3.8,"Be a Machine Learning, Matplotlib, NumPy, and TensorFlow pro. Use AI for programming, business or science! | By GP Shan",All Levels
Tuning Apache Spark: Powerful Big Data Processing Recipes,3.6,Uncover the lesser known secrets of powerful big data processing with Spark and Kafka | By Packt Publishing,Beginner
Deep Reinforcement Learning: A Hands-on Tutorial in Python,4.0,Learn Reinforcement Learning and apply to real applications step by step using Python and Keras. | By Mehdi Mohammadi,Intermediate
Deep Learning with Tensorflow and Angular 2!,4.8,Learn the Fundamentals on Web development and Machine Learning with Angular 2 and Tensorflow! | By Mammoth Interactive,All Levels
"Machine + Deep Learning, Business analytics & Data Science",4.3,"Machine learning, deep learning & data Science with R & Python. Build Image recognition model with Keras & much more. | By Akhilendra Singh MBA, CBAP, CSPO, PSM1",All Levels
Data Science for AI and Machine Learning Using Python,4.4,Become Data Science (Machine Learning) professional by learning from Data Science professional | By Shiv Onkar Deepak Kumar,All Levels
Apache Spark 2.0 + Scala : DO Big Data Analytics & ML,3.6,"Project Based, Hands-on Practices, Spark Streaming, Scala Setup and building real world applications, Final project | By V2 Maestros, LLC",Beginner
Machine Learning With Python: Predicting Customer Churn,4.2,Real world machine learning with Python | By Eduonix Learning Solutions,Intermediate
Crash course: Data analytics in Python using Pandas,4.9,Let's get to grips with the Python Pandas library for data analytics / analysis | By Kieran Keene,Beginner
Practical Artificial Intelligence for A/B Testing,5.0,Apply AI algorithms to leverage the power of A/B tests experiments | By Packt Publishing,Intermediate
Introduction to Machine Learning in R,3.9,"Machine learning, neural networks, regression, SVM, naive bayes classifier, bagging, boosting, random forest classifier | By Holczer Balazs",All Levels
Boosting Machine Learning Models in Python,2.5,Leverage ensemble techniques to maximize your machine learning models in Python | By Packt Publishing,Beginner
Testing Statistical Hypotheses in Data science with Python 3,4.3,Parametric and nonparametric hypotheses testing using Python 3 advanced statistical libraries with real world data | By Luc Zio,Intermediate
Image Processing and Computer Vision with Python & OpenCV,3.9,Learn Image Processing and Computer Vision from AI (ML & DL) professional | By Shiv Onkar Deepak Kumar,Beginner
Object Recognition with Deep Learning using OpenCV and C#,4.1,"Building Object Detection and Classification Applications using Computer Vision, Deep Learning, OpenCV and C# | By F. Frank Ozz",All Levels
How to Become A Data Scientist Using Azure Machine Learning,4.3,A Practical Introduction To Microsoft's Azure Machine Learning Tools | By Mike West,Intermediate
Complete iOS Machine Learning Masterclass,3.6,The most comprehensive course on Machine Learning for iOS development. Master building smart apps iOS Swift 4 | By Yohann Taieb,Beginner
LaTeX for Data Scientists 2020 (and for non-Data Scientists),4.8,LaTeX for everyone! | By David Armendáriz,All Levels
R Programming from Scratch for Data Science - Step by Step,4.5,Learn R Language (Data Science) and become Data Scientist (Best Selling Course) | By Easy & Fast Learning,All Levels
Machine Learning Guide: Learn Machine Learning Algorithms,4.4,Machine Learning: A comprehensive guide to machine learning. Learn machine learning algorithms & machine learning tools | By Grid Wire,Beginner
Data Science Interview Preparation - Career Guide,3.8,Prepare for your Data Science Interview with this full guide on a career in Data Science including practice questions! | By Up Degree,All Levels
SGLearn@From 0 to 1 : Spark for Data Science with Python,4.5,This is an Adapted Course for Singaporeans picking up new skillsets and competencies under the CITREP+ Scheme. | By DioPACT SG,All Levels
Advanced Forecasting Models with Excel,4.5,Learn main advanced forecasting models concepts from proficient to expert level through a practical course with Excel. | By Diego Fernandez,Expert
Hands-on Introduction to Artificial Intelligence(AI),4.1,"Learn Basics of Machine learning, Supervised , Unsupervised, FFNN, CNN, NLP, RNN | By Junaid Ahmed",Beginner
Mobile Machine Learning for Android: TensorFlow & Python,4.4,"Use PyCharm, Java & Android Studio to make apps using artificial intelligence. Learn with hands-on projects & examples! | By Mammoth Interactive",Beginner
Deep Learning: Visual Exploration,3.7,Deep neural networks visually explained in plain english & without complex math | By Vladimir Grankin,Beginner
Comprehensive Linear Modeling with R,4.1,"Learn to model with R: ANOVA, regression, GLMs, survival analysis, GAMs, mixed-effects, split-plot and nested designs | By Geoffrey Hubona, Ph.D.",All Levels
AI Machine Learning Complete Course: for PHP & Python Devs,3.8,Build real-world AI & machine learning apps using both PHP & Python. No prior ML knowledge required. Full Code Included. | By Amr Shawqy,All Levels
SciKit-Learn in Python for Machine Learning Engineers,4.2,The Fourth Course in a Series for Mastering Python for Machine Learning Engineers | By Mike West,Beginner
Machine Learning with Earth Engine,3.8,Learn to apply machine learning and Earth observation big data on Google Earth Engine API cloud platform | By Spatial eLearning,All Levels
The Comprehensive Statistics and Data Science with R Course,4.0,"Learn how to use R for data science tasks, all about R data structures, functions and visualizations, and statistics. | By Geoffrey Hubona, Ph.D.",All Levels
Mastering Unsupervised Learning with Python,4.0,"Master advanced clustering, topic modeling, manifold learning, and autoencoders using Python | By Packt Publishing",Expert
Introductory statistics Part1: Descriptive Statistics,4.3,"Learn the concepts, calculations and applications of statistics at your own pace and comfort. | By Luc Zio",Beginner
"Python Machine Learning: Projects, Tips and Troubleshooting",5.0,"Practical solutions to Machine Learning problems, avoiding roadblocks while working with Python data science ecosystem. | By Packt Publishing",Beginner
Neural Network Trading Bot,3.1,Build a Machine Learning Trading Bot from scratch | By Vinay Phadnis,All Levels
Machine Learning with C++,3.1,Up your algorithm building game by using C++ to predict and cluster data. | By Packt Publishing,Intermediate
Building Big Data Pipelines with PySpark + MongoDB + Bokeh,0.0,Build intelligent data pipelines with big data processing and machine learning technologies | By Edwin Bomela,All Levels
Complete Prediction and Detection Model Building with Python,4.3,"Build data handling & manipulation projects with machine learning. Learn Java, Python & stock market prediction. & More! | By Mammoth Interactive",All Levels
Machine Learning with Python: The Complete Guide,3.9,"Learn machine learning concepts, modeling and solution implementation in one single course | By Eduonix Learning Solutions",All Levels
Predictive Analytics With R,3.9,Enhance you analytics by Predictive Analytcis with R. Become an Analyst with easy programming code of R. | By Easylearning guru,Beginner
Advanced Forecasting Models with Python,2.9,Learn main advanced forecasting models concepts from proficient to expert level through a practical course with Python | By Diego Fernandez,Expert
Hands - On Reinforcement Learning with Python,3.4,"A practical tour of prediction and control in Reinforcement Learning using OpenAI Gym, Python, and TensorFlow | By Packt Publishing",Intermediate
Python for Data Science and Visualization -Beginners to Pro,3.9,"Complete Python data science course - beginner to expert in data analysis and visualization - Pandas, Numpy & MatPlotLib | By Analytics Leap",Intermediate
Building Recommendation Systems with Python,3.3,"Build real-world recommendation systems using collaborative, content-based, and hybrid filtering techniques in Python | By Packt Publishing",Intermediate
Complete Python Machine Learning & Data Science for Dummies,4.0,"Machine Learning and Data Science for programming beginners using python with scikit-learn, SciPy, Matplotlib & Pandas | By Abhilash Nelson",All Levels
Hands-on Reinforcement Learning with TensorFlow,4.1,"Train your agent using Reinforcement Learning with Tensorflow’s neural networks, OpenAI Gym & Python, to make it smarter | By Packt Publishing",Beginner
Data Mining,3.7,"An introductory course about understanding patterns, process, tools of data mining. | By The Art Of Service",All Levels
Practical Data Science: Analyzing Stock Market Data with R,4.0,"Learn basic financial technical analysis technics using R (quantmod, TTR) to better understand your favorites stocks. | By Manuel Amunategui",All Levels
Machine Learning Mastery (Integrated Theory+Practical HW),4.8,"Data Science,Machine Learning, Predictive Analytics, Python, Handson | By SaifAli Kheraj",All Levels
Practical Machine Learning with Python,4.7,"Python, Numpy, Pandas, Matplotlib, Seaborn, Statistics And Machine Learning (both Supervised and Unsupervised Learning) | By Polani Damodar",All Levels
Game Devs Unleash Artificial Intelligence: Flocking Agents,4.4,Artificial Intelligence for Game Devs in Unity to understand & implement the beautiful bird's natural Flocking Behavior | By Razvan Pistolea,Intermediate
Deep Learning with Apache Spark Solutions,4.1,Implement practical hands-on examples with over 55 recipes that streamline Deep Learning with Apache Spark | By Packt Publishing,Beginner
Hands-On Neural Networks​: Build Machine Learning Models​,4.4,Credit Fraud Detection & Stock Analysis​​ -- No Experience Required. Learn to Base Predictions With Python & Tensorflow | By Mammoth Interactive,Beginner
Statistics Made Easy by Example for Analytics/ data science,3.7,Statistics Simplified - Statistics Made Easy by Excel Simulations. Master fundamentals of statistics & Probability. | By Gopal Prasad Malakar,All Levels
Discrete Optimization Data Science Heuristic & Metaheuristic,3.8,Discrete Optimization in Data Science: Heuristic and Metaheuristic Methods | By Up Degree,Intermediate
Complete Machine Learning Bootcamp,4.7,Develop Cognitive Application on AWS and Microsoft AZURE | By Pranjal Srivastava,All Levels
Machine Learning for Apps,4.5,Beginner,7 total hours
Support Vector Machines in Python - SVM in Python 2019,3.9,Learn Support Vector Machines in Python. Covers basic SVM models to Kernel-based advanced SVM models of Machine Learning | By Start-Tech Academy,All Levels
Data Science: Machine Learning and Statistical Modeling in R,4.2,Master machine learning techniques with R to solve Real-World problems and gain valuable insights from your data. | By Star Academy,All Levels
Scraping and Data Mining for Beginners and Pros,3.1,"Data mining visually or programmatically, learn everything you need in a fast pace 30 minute course | By Ala Shiban",Beginner
Apache Spark with Scala By Example,3.7,"Advance your Spark skills and become more valuable, confident, and productive | By Todd McGrath",All Levels
The Complete Natural Language Processing (NLP) Course,3.6,"A comprehensive course that will help you learn advanced NLP techniques to perform potentially useful tasks. | By MleTech Academy, LLC.",All Levels
Neural Networks (ANN) in R studio using Keras & TensorFlow,3.9,Learn Artificial Neural Networks (ANN) in R. Build predictive deep learning models using Keras and Tensorflow| R Studio | By Start-Tech Academy,All Levels
Apache Spark 2.0 + Java : DO Big Data Analytics & ML,3.7,"Project Based, Hands-on Practices, Spark SQL, Spark Streaming, Java Setup and building real world applications | By V2 Maestros, LLC",Beginner
Data Science and Machine Learning Masterclass with R,4.2,"Data Science by IITan - Data Science :Data Manipulation , Data Science Data Visualization, Data Science : Data Analytics | By Up Degree",All Levels
Machine Learning using R and Python,4.5,Machine Learning using R Programming and Python Programming | By DATAhill Solutions Srinivas Reddy,All Levels
Troubleshooting Python Deep Learning,0.0,"Practical solutions to your problems while building Deep Learning models using CNN, LSTM, scikit-learn, and NumPy | By Packt Publishing",Intermediate
Apache Spark Data Analytics Best Practices & Troubleshooting,5.0,Perform analytics on real-time data by discovering techniques to test and parallelize Spark jobs & solve common problems | By Packt Publishing,Beginner
Hands-on TensorFlow Lite for Intelligent Mobile Apps,3.4,Apply Machine Learning models in real-time in mobile devices with the new and powerful TensorFlow Lite | By Packt Publishing,Intermediate
Data Scientist Interview Questions,3.1,Practice what you get asked in REAL WORLD Data Scientist / Machine Learning Interview Question. | By Gaurav Chauhan,125 questions
Advanced Forecasting Models with R,3.4,Learn main advanced forecasting models concepts from proficient to expert level through a practical course with R. | By Diego Fernandez,Expert
Practical Deep Learning: Image Search engine,4.0,Apply your Deep Learning skills and create your own end-to-end Image Search engine! | By Luka Anicin,Intermediate
Linear Correlation and Regression Analysis |STATISTICS|,3.5,Course in Statistics with Worked Examples | By Shilank Singh,All Levels
Cluster Analysis- Theory & workout using SAS and R,3.6,"Unsupervised Machine Learning : Hierarchical & non hierarchical clustering (k-means), theory & SAS / R program | By Gopal Prasad Malakar",All Levels
Machine Learning using Python : Learn Hands-On,4.2,"Naive Bayes Classifier, Decision tree, PCA, kNN classifier, linear regression, logistic regression,SVM classifier | By Hands-On Skill",All Levels
Learning Path: Python: Predictive Analysis with Python,3.8,"Manipulate, analyze, and visualize your data with powerful Python libraries - Pandas and scikit-learn | By Packt Publishing",Intermediate
Learning Path: Python: Predictive Analysis with Python,3.8,"Manipulate, analyze, and visualize your data with powerful Python libraries - Pandas and scikit-learn | By Packt Publishing",Intermediate
Machine Learning and Statistical Modeling with R Examples,4.0,"Learn how to use machine learning algorithms and statistical modeling for clustering, decision trees, etc by using R | By R-Tutorials Training",Intermediate
Federated Learning with TensorFlow,3.0,Get up and running with TensorFlow Federated on your own mobile device | By Packt Publishing,Beginner
Natural Language Processing (NLP) with NLTK and Scikit-learn,4.0,Learn to build expert NLP applications and machine learning projects using NLTK and Python library- scikit-learn | By Packt Publishing,Beginner
Machine Learning with AWS,3.8,Sagemaker|Comprehend|DeepLens|Lex|Polly|Transcribe|Translate|Celebrity recognition|ObjectAndSceneDetection|TextInImage | By Pranjal Srivastava,All Levels
"Machine Learning Basics: Logistic Regression, LDA & KNN in R",4.1,"Learn logistic regression in R studio. Logistic Regression , Discriminant Analysis & KNN machine learning models in R | By Start-Tech Academy",All Levels
Machine Learning with Jupyter Notebooks in Amazon AWS,2.7,"A comprehensive look into Machine Learning using Dynamic Programming, Python and SageMaker service offered by Amazon AWS | By Qasim Shah",Beginner
Predictive Analytics with TensorFlow,3.8,Accomplish the power of data in your business by building advanced predictive modelling applications with Tensorflow. | By Packt Publishing,Beginner
"Machine Learning: Logistic Regression, LDA & K-NN in Python",4.2,"Logistic regression in Python. Machine learning models such as Logistic Regression, Discriminant Analysis &KNN in Python | By Start-Tech Academy",All Levels
Artificial Intelligence: Genetic Machine Learning Algorithms,3.9,Learn AI based Genetic Algorithms in Machine Learning from theory to hands-on experience by developing 2 apps and game | By Vinay Phadnis,All Levels
Building Natural Language Applications with TensorFlow,4.5,Build and interact with your intelligent chatbot with NLP! | By Packt Publishing,Intermediate
Interactive Chatbots with TensorFlow,3.5,Build chatbots of the future. Create sophisticated conversational agents using NLP and TensorFlow | By Packt Publishing,Intermediate
Intelligent Mobile Application Development with TensorFlow,3.7,A practical guide to using TensorFlow and creating efficient Deep Learning models for your mobile apps | By Packt Publishing,All Levels
Ultimate Neural Nets and Deep Learning Masterclass in Python,3.8,The best way to learn machine learning and AI using python: simply and fully explained concepts with practical exercises | By John Harper,Beginner
Natural Language Processing Fundamentals,3.9,Use Python and NLTK (Natural Language Toolkit) to build your own text classifiers and solve common NLP problems. | By Packt Publishing,Beginner
Beginning Machine Learning with AWS,3.1,Explore the power of cloud services for your machine learning and artificial intelligence projects | By Packt Publishing,Beginner
Machine Learning Made Easy : Beginner to Expert using Python,4.5,"Learn Machine Learning Algorithms using Python from experts with hands on examples, practice sessions and projects. | By Statinfer Solutions",All Levels
AI Academy #4: Learn Bio Inspired Optimization Methods A-Z,3.2,Learn Bio Inspired Optimization Methods like Genetic Algorithm and Particle Swarm Optimization. SourceCodes Included | By Sobhan N.,All Levels
Machine Learning in iOS Using Swift,4.3,Build Amazing Machine Learnings iOS Apps | By Mohammad Azam,Intermediate
Real-World Python Deep Learning Projects,3.9,Intermediate,4 total hours
Artificial intelligence in Game development- Tic Tac Toe AI,4.0,"Artificial intelligence & Javascript 2D Game Development - MinMax algorithm - ""Computer vs You"" Tic Tac Toe AI game | By DigiFisk (Programming is fun)",All Levels
Modern Deep Convolutional Neural Networks with PyTorch,4.1,Image Recognition with Convolutional Neural Networks. Advanced techniques for Deep Learning and Representation learning | By Denis Volkhonskiy,Intermediate
Complete DataScience with Python and Tensorflow,3.7,"Learn about machine learning, deep learning, text analytics using python and tensorflow | By Nishant Srivastava",All Levels
"Decision Tree - Theory, Application and Modeling using R",4.2,Analytics/ Supervised Machine Learning/ Data Science (applied statistics): CHAID / CART / GINI/ ID3/ Random Forest etc. | By Gopal Prasad Malakar,All Levels
Coaching Course: 0 to 1: Spark for Data Science with Python,5.0,A Blended Learning Course | By DioPACT Learning,All Levels
Statistics for Data science,4.4,This course teaches Data Science with Maths statistics from basic to advanced level. | By Shivprasad Koirala,Beginner
Complete Guide to Careers in Data Science - Interview Hacks,4.1,An Amazing Interview Preparation guide that includes questions & answers for people with NO experience in Data Science | By Nizamuddin Siddiqui,Beginner
Advanced Predictive Techniques with Scikit-Learn& TensorFlow,4.2,"Improve the performance predictive models, build more complex models and use techniques to improve quality of your predi | By Packt Publishing",Intermediate
VSD - Machine Intelligence in EDA/CAD,3.5,Listen from CEO/architect himself on Machine learning | By Kunal Ghosh,Beginner
Heart Attack and Diabetes Prediction Project in Apache Spark,3.9,Disease Prediction 2 Projects in Apache Spark(ML) for beginners using Databricks Notebook (Unofficial) Community edition | By Bigdata Engineer,Beginner
Natural Language Processing (NLP) with Python and NLTK,4.2,Master Natural Language with Python and NLP using Spam Filter detection | By Abhishek Kumar,Intermediate
Artificial Intelligence and Predictive Analysis using Python,3.4,This course is a comprehensive understanding of AI concepts and its application using Python and iPython. | By EDU CBA,Intermediate
TensorFlow 101: Introduction to Deep Learning,4.2,Ready to build the future with Deep Neural Networks? Stand on the shoulder of TensorFlow and Keras for Machine Learning. | By Sefik Ilkin Serengil,All Levels
"Python 3 Data Science: NumPy, Pandas, and Time Series",4.0,"Learn NumPy, Matplotlib, Jupyter, Pandas, Plotly, Altair, Seaborn, and Time Series Analysis in a single course | By Ashwin Pajankar • 50,000+ Students Worldwide",Intermediate
Data Science and Machine Learning with Python,4.1,"Learn about Data Science and Machine Learning using Python and it's libraries such as NumPy, Pandas, Matplotlib etc. | By Osama Ajmal",All Levels
"Machine Learning, incl. Deep Learning, with R",4.0,"Statistical Machine Learning Techniques, and Deep Learning with Keras, and much more. (All R code included) | By Bert Gollnick",All Levels
Essential Fundamentals of R,4.5,"Data Types and Structures in R , Inputting & Outputting Data, Writing User-Defined Functions, and Manipulating Data Sets | By Geoffrey Hubona, Ph.D.",Beginner
Guide to Big Data Analytics: Origination to Opportunities,3.4,"Foundation in basic big data analytic methods, technology and tools | By RankOne Consulting",Beginner
Machine Learning and AI using Microsoft Cognitive Services,4.3,Learn Machine Learning with Azure Cognitive Services APIs. Build apps with AI in minutes. Part of Microsoft exam 70-774. | By Jitesh Khurkhuriya,All Levels
"AI LAW, ETHICS, PRIVACY & LEGALITIES - DR. PAVAN DUGGAL -CLU",4.4,AN INTRODUCTION TO THE WONDERFUL WORLD OF DIFFERENT TOPICS UNDER ARTIFICIAL INTELLIGENCE LAW | By Dr. Pavan Duggal,All Levels
Power Your Business with Artificial Intelligence,4.2,Idea Generation | By Ken McGuire,Beginner
Dummy Variable Regression & Conjoint (Survey) Analysis in R,3.9,"Dummy Variable regression (ANOVA / ANCOVA / structural shift), Conjoint analysis for product design Survey analysis | By Gopal Prasad Malakar",All Levels
Exploratory Data Analysis with R,3.4,Harness the skills to analyze your data effectively with EDA and R | By Packt Publishing,Intermediate
Business Statistics Fundamentals,4.3,Learn everything you need to know about statistics used in businesses | By Rajarshi Sarma,All Levels
Data Science and Machine Learning Bootcamp with Python & R™,4.4,"Machine Learning , Python, Advanced Data Visualization, R Programming, Linear Regression, Decision Trees, NumPy, Pandas | By Apex Education",All Levels
Data Science and Machine Learning in Python,4.0,"Learn how to use NumPy, Pandas, Seaborn , Scikit-Learn , Machine Learning, SQL and Tableau in one place!! | By Gaurav Chauhan",All Levels
Beyond Jupyter Notebooks,3.6,Build your own Data science platform with Docker & Python | By Joshua Görner,All Levels
Machine Learning Entrepreneurship - Applied Data Science,4.6,Learn how to transform your ML ideas into interactive web applications and paywall subscription sites - Master Class | By Manuel Amunategui,Intermediate
Learning Path: R: Master R Data Analysis and Visualization,4.0,Harness the power of R for effective data analysis and visualizations | By Packt Publishing,Intermediate
Modeling Count Data using Stata,4.9,Poisson and Negative Binomial Regression Techniques | By Najib Mozahem,Beginner
Document classification using Machine Learning,4.1,Using Latent Dirichlet Allocation to classify documents using Machine Learning | By Evergreen Technologies,Beginner
Machine Learning With TensorFlow: The Practical Guide,4.0,A comprehensive source to help you learn Machine learning with TensorFlow | By Eduonix Learning Solutions,All Levels
LEARNING PATH: MATLAB: Powerful Machine Learning with MATLAB,4.1,Level up your machine learning skills to extract patterns and knowledge from your data with ease using MATLAB | By Packt Publishing,Beginner
Elasticsearch 7 - The Complete Masterclass,4.7,Learn the complete ELK Stack (Elasticsearch-Logstash-Kibana) and Become a master in Elasticsearch | By Vinoth Parthasarathy,All Levels
Machine Learning and Deep Learning using Tensor Flow & Keras,2.6,A-Z Course for Google's Deep Learning Framework - TensorFlow with Python! Learn to use functions and apply Codes. | By Indira Programmer,All Levels
"Data Science : Plotly, NumPy, Matplotlib, and Pandas",4.0,"Learn to acquire Data with NumPy and Pandas, transform it with Pandas, and visualize it with Matplotlib and Plotly | By Ashwin Pajankar • 50,000+ Students Worldwide",Intermediate
OpenCV: Master OpenCV 3 Application Development Using Python,3.7,Build computer vision OpenCV 3 applications with Python | By Packt Publishing,Expert
Text Mining and NLP using R and Python,3.4,Data Science Text Mining and NLP using R and Python | By ExcelR Solutions,All Levels
Classifying and Clustering Data with R,3.6,An all inclusive guide to get well versed with Classifying and Clustering Data with R | By Packt Publishing,Intermediate
A Beginner introduction to Natural Language Processing,3.6,Learn Natural Language Processing ( NLP ) with ML | By Up Degree,Beginner
Word2Vec: Build Semantic Recommender System with TensorFlow,3.3,Word2Vec Tutorial: Names Semantic Recommendation System by Building and Training a Word2vec Python Model with TensorFlow | By GoTrained Academy,Intermediate
Machine Learning : A Beginner's Basic Introduction,4.1,Learn Machine Learning Basics with a Practical Example | By Bluelime Learning Solutions,Beginner
Machine Learning for Beginners: Linear Regression model in R,4.3,Simple Regression & Multiple Regression| must-know for Machine Learning & Econometrics | Linear Regression in R studio | By Start-Tech Academy,All Levels
Introduction to Machine Learning With SAP® HANA®,3.2,Learn and Implement Your Own Custom Machine Learning Algorithm on Top of SAP®'s HANA® In Memory System | By CS PRO,Intermediate
Time Series Analysis with Python 3.x,0.0,A hands-on definitive guide to working with time series data | By Packt Publishing,Intermediate
"Build Next-Level Apps w/ TensorFlow, Python & Sketch",5.0,"Enroll now to create a portfolio driven by machine learning, as well as eye grabbing user interfaces in Sketch. | By Mammoth Interactive",All Levels
beginner to advanced - how to become a data scientist,4.4,"master data science fundamentals for machine learning, deep learning and neural networks | By Dan We",Beginner
Docker Containers for Data Science and Reproducible Research,4.3,Course Tutorial to make your work reproducible using Docker Containers | By Vladimir Zhbanko,Beginner
